;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;label
6477;5067;19.0;35.0;47.0;121414.0;32.8;24;23.0;3982379.2;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-3860965.2;-128698.84;37.0;2011;1
1536;3109;1.0;43.0;247.0;104000.0;32.64;24;2.0;3394560.0;0;NON;MARIE;CONNUE;CAP;CDI;-3290560.0;-109685.33333333331;45.0;2011;1
8054;4663;7.0;35.0;12.0;174636.0;32.8;24;8.0;5728060.8;0;OUI;MARIE;CONNUE;CAP;CDI;-5553424.8;-185114.16;37.0;2012;1
2232;3097;15.0;41.0;58.0;142894.0;32.59;24;15.0;4656915.460000001;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-4514021.460000001;-150467.38200000007;43.0;2012;1
1086;7218;2.0;26.0;30.0;125000.0;32.83;24;2.0;4103750.0;1;OUI;CELIBATAIRE;CONNUE;CAP;CDI;-3978750.0;-132625.0;28.0;2012;1
17562;3724;23.0;38.0;40.0;200000.0;32.94;24;23.0;6588000.0;0;NON;MARIE;RENSEIGNER;CAP_Rechargeable;CDI;-6388000.0;-212933.33333333328;40.0;2012;1
35;4368;2.0;38.0;17.0;249894.12;31.48;12;2.0;7866666.8976;0;NON;MARIE;RENSEIGNER;CAP;CDD;-7616772.7776;-253892.42591999998;39.0;2011;1
6863;2048;6.0;48.0;295.0;270644.4;28.9;36;10.0;7821623.16;0;NON;CONCUBINE;FONCTIONNAIRE;CAP;CDI;-7550978.76;-251699.292;51.0;2011;1
6051;7135;18.0;27.0;6.0;300000.0;32.66;60;19.0;9797999.999999998;0;OUI;CELIBATAIRE;FAVORISER;CAP;CDI;-9497999.999999998;-316599.99999999994;32.0;2012;1
13850;385;52.0;57.0;313.0;535508.0;21.19;24;53.0;11347414.52;0;NON;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-10811906.52;-360396.884;59.0;2012;1
17378;1825;25.0;49.0;269.0;291620.8;32.52;60;40.0;9483508.416000001;0;NON;CONCUBINE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-9191887.616;-306396.2538666667;54.0;2011;1
10024;2673;49.0;43.0;121.0;206000.0;32.94;60;53.0;6785639.999999999;0;NON;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-6579639.999999999;-219321.33333333328;48.0;2012;1
11733;392;2.0;57.0;364.0;332000.0;16.96;36;4.0;5630720.0;0;NON;MARIE;FONCTIONNAIRE;CAP;CDI;-5298720.0;-176624.0;60.0;2012;1
3199;5282;26.0;34.0;61.0;163000.0;32.72;24;26.0;5333360.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-5170360.0;-172345.33333333337;36.0;2011;1
5021;5753;25.0;33.0;35.0;557198.0;17.58;17;30.0;9795540.84;0;NON;CONCUBINE;CONNUE;CAP;CDI;-9238342.84;-307944.76133333327;34.416666666666664;2011;1
18434;4012;1.0;39.0;58.0;233405.4;32.82;60;3.0;7660365.227999999;0;NON;MARIE;FONCTIONNAIRE;CAP;CDI;-7426959.828;-247565.3276;44.0;2011;1
6523;4842;3.0;35.0;75.0;264000.0;32.94;60;4.0;8696160.0;0;NON;MARIE;FONCTIONNAIRE;CAP;CDI;-8432160.0;-281072.0;40.0;2012;1
16596;234;59.0;58.0;398.0;455191.0;18.82;36;64.0;8566694.620000001;0;OUI;MARIE;FONCTIONNAIRE;CAP2;CDI;-8111503.620000001;-270383.454;61.0;2012;1
15868;6361;1.0;30.0;19.0;402935.0;32.85;48;7.0;13236414.75;0;NON;CELIBATAIRE;FONCTIONNAIRE;CAP;CDI;-12833479.75;-427782.65833333327;34.0;2012;1
975;2601;2.0;45.0;220.0;107800.0;32.4;24;3.0;3492720.0;0;NON;MARIE;CONNUE;CAP;CDI;-3384920.0;-112830.66666666669;47.0;2011;1
15491;463;33.0;57.0;359.0;292557.0;32.99;60;36.0;9651455.43;0;NON;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-9358898.43;-311963.281;62.0;2011;1
5348;2421;2.0;46.0;254.0;349260.6;32.3;48;5.0;11281117.38;0;NON;MARIE;FONCTIONNAIRE;CAP;CDI;-10931856.78;-364395.226;50.0;2011;1
4542;4439;2.0;36.0;114.0;123619.0;32.95;24;2.0;4073246.05;0;NON;MARIE;CONNUE;CAP;CDI;-3949627.05;-131654.23500000002;38.0;2012;1
5218;3266;4.0;42.0;170.0;147000.0;32.89;36;4.0;4834830.0;0;OUI;MARIE;CONNUE;CAP;CDI;-4687830.0;-156261.0;45.0;2011;1
10130;2480;15.0;43.0;20.0;120000.0;33.0;24;15.0;3960000.0;0;OUI;MARIE;RENSEIGNER;CAP;CDI;-3840000.0;-128000.0;45.0;2012;1
7861;6416;18.0;30.0;91.0;104934.0;32.56;24;18.0;3416651.04;0;NON;CELIBATAIRE;CONNUE;CAP_Rechargeable;CDI;-3311717.04;-110390.568;32.0;2012;1
172;3407;14.0;40.0;19.0;110174.0;32.55;24;2.0;3586163.7;0;OUI;CELIBATAIRE;CONNUE;CAP;CDI;-3475989.7;-115866.32333333332;42.0;2012;1
471;1384;39.0;52.0;149.0;315041.8;32.99;60;41.0;10393228.982;0;OUI;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-10078187.182;-335939.5727333333;57.0;2011;1
11013;1326;6.0;50.0;207.0;465430.0;21.61;24;7.0;10057942.3;0;NON;MARIE;RENSEIGNER;CAP;CDI;-9592512.3;-319750.41;52.0;2012;1
16824;1701;2.0;50.0;58.0;164256.6;32.94;24;2.0;5410612.404;0;NON;CONCUBINE;RENSEIGNER;CAP;CDD;-5246355.8040000005;-174878.52680000002;52.0;2011;1
2168;4967;37.0;34.0;60.0;268100.0;32.9;48;37.0;8820490.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-8552390.0;-285079.66666666674;38.0;2012;1
10029;1682;3.0;48.0;55.0;105379.0;32.77;24;3.0;3453269.8300000005;0;NON;MARIE;CONNUE;CAP;CDI;-3347890.8300000005;-111596.36100000002;50.0;2012;1
6459;3269;3.0;40.0;40.0;94499.0;30.49;18;3.0;2881274.51;0;NON;MARIE;RENSEIGNER;CAP;CDI;-2786775.51;-92892.51699999999;41.5;2012;1
936;6531;12.0;30.0;38.0;100215.0;32.56;24;15.0;3263000.4000000013;0;OUI;CONCUBINE;CONNUE;CAP;CDI;-3162785.4000000013;-105426.18;32.0;2011;1
540;6423;2.0;30.0;62.0;116339.0;32.85;24;2.0;3821736.15;0;NON;MARIE;CONNUE;CAP;CDI;-3705397.15;-123513.23833333336;32.0;2012;1
