;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;label
13258;2314;66.0;44.0;178.0;207000.0;32.87;36;70.0;67967.0;0;0;0;1;0;0;139033.0;4634.433333333333;47.0;2014;1;1;33;0;2;29;2;437856.5656846549;313671.6793187913;31.286291191230358;370955.7745021643;0
4541;6680;32.0;26.0;33.0;815186.0;31.96;6;33.0;262541.0;1;1;2;2;0;0;552645.0;18421.5;26.5;2013;2;0;4;0;4;13;11;348407.7354765545;636429.0148717947;29.104304835594373;367332.77090690075;0
373;384;17.0;42.0;46.0;188000.0;32.854999472456996;48;24.0;62391.312129514;0;1;0;1;1;0;125608.687870486;4186.956262349533;46.0;2017;0;1;7;0;1;0;11;437856.5656846549;313671.6793187913;31.285981228209238;344747.6512061669;0
1369;1401;64.0;43.0;263.0;542749.0;24.789706442051;60;120.0;135904.93314865;0;1;2;3;0;0;406844.06685135;13561.468895045;48.0;2017;1;1;43;2;3;16;11;437856.5656846549;462765.74141768547;30.86250662982543;442533.7592929294;0
338;1517;40.0;29.0;65.0;179249.0;32.99;36;42.0;59064.0;0;1;0;1;1;0;120185.0;4006.166666666666;32.0;2014;2;0;2;0;2;6;1;348407.7354765545;313671.6793187913;31.286291191230358;380339.13418342744;0
7805;3181;14.0;32.0;138.0;259224.8;32.98;48;22.0;85122.0;0;1;0;3;0;0;174102.8;5803.426666666666;36.0;2014;0;0;24;0;1;0;11;348407.7354765545;462765.74141768547;31.285981228209238;335714.0872005772;0
3134;3223;38.0;30.0;68.0;350000.0;32.570486686030996;36;43.0;115148.18525364;0;0;0;0;0;0;234851.81474636;7828.393824878667;33.0;2017;2;0;3;0;2;9;11;348407.7354765545;354195.0145666767;31.286291191230358;369368.16014648456;0
4423;3416;30.0;28.0;50.0;280000.0;32.97;36;32.0;92225.0;0;0;1;1;1;0;187775.0;6259.166666666668;31.0;2014;2;0;22;0;2;13;2;348407.7354765545;313671.6793187913;31.286291191230358;335757.89816463424;0
17453;1251;43.0;48.0;186.0;167400.0;32.86;36;43.0;54952.0;0;0;0;1;1;0;112448.0;3748.266666666667;51.0;2014;2;1;59;0;2;9;1;437856.5656846549;313671.6793187913;31.286291191230358;335054.05065637076;0
10126;4867;83.0;53.0;392.0;443352.8;32.95;30;85.0;34156.0;0;0;1;3;2;0;409196.8;13639.893333333332;55.5;2014;3;1;56;0;2;5;4;437856.5656846549;462765.74141768547;30.32729797554691;545857.4711392404;0
511;3711;26.0;37.0;69.0;253174.0;30.59;36;31.0;77345.0;0;1;2;3;0;0;175829.0;5860.966666666666;40.0;2013;2;0;3;0;2;13;2;348407.7354765545;462765.74141768547;31.286291191230358;369368.16014648456;0
7996;5921;25.0;55.0;436.0;504683.0;32.71;48;27.0;164374.0;0;1;0;3;0;0;340309.0;11343.633333333333;59.0;2013;0;1;75;0;1;3;5;437856.5656846549;462765.74141768547;31.285981228209238;574947.8008571428;0
1094;1124;7.0;31.0;152.0;165000.0;27.408911743606;36;14.0;54264.108098452;0;1;0;1;0;0;110735.891901548;3691.1963967182655;34.0;2017;0;0;13;2;2;10;11;348407.7354765545;313671.6793187913;31.286291191230358;403923.1946232877;0
7163;6919;51.0;34.0;54.0;1057742.0;23.32;24;51.0;247211.0;0;0;0;0;0;0;810531.0;27017.7;36.0;2013;1;0;22;2;0;8;6;348407.7354765545;354195.0145666767;31.611336366096918;335757.89816463424;0
6887;4298;21.0;31.0;20.0;303440.0;28.36;16;24.0;86457.0;0;0;0;3;0;1;216983.0;7232.766666666666;32.333333333333336;2013;0;0;15;2;0;0;7;348407.7354765545;462765.74141768547;30.984104664162068;343394.4938213339;0
1563;1602;5.0;24.0;21.0;413663.0;32.102485519405;48;12.0;134137.47946883;0;1;2;1;0;0;279525.52053117;9317.517351039;28.0;2017;0;0;15;0;1;11;11;348407.7354765545;313671.6793187913;31.285981228209238;343394.4938213339;0
4177;4399;45.0;30.0;79.0;372078.0;32.4;30;48.0;120606.0;0;0;0;3;0;0;251472.0;8382.4;32.5;2014;2;0;25;0;2;9;11;348407.7354765545;462765.74141768547;30.32729797554691;405378.0481848188;0
15794;2535;63.0;39.0;114.0;219730.0;32.89;48;63.0;71969.0;0;0;1;1;1;0;147761.0;4925.366666666667;43.0;2014;1;0;19;0;1;2;2;348407.7354765545;313671.6793187913;31.285981228209238;359955.8313592235;0
5193;5847;62.0;30.0;28.0;500000.0;32.57;36;62.0;162686.0;0;0;0;1;0;0;337314.0;11243.8;33.0;2013;1;0;21;0;2;2;4;348407.7354765545;313671.6793187913;31.286291191230358;383292.923074868;0
4077;2015;45.0;25.0;50.0;166995.0;32.49;24;45.0;54386.0;0;1;2;1;1;0;112609.0;3753.633333333333;27.0;2013;2;0;22;0;0;9;1;348407.7354765545;313671.6793187913;31.611336366096918;335757.89816463424;0
6664;506;36.0;33.0;38.0;122653.2;32.98;24;36.0;40543.0;0;1;0;1;0;0;82110.2;2737.0066666666667;35.0;2013;2;0;18;0;0;13;1;348407.7354765545;313671.6793187913;31.611336366096918;361661.5960337501;0
7526;4354;49.0;32.0;104.0;309596.0;32.44;60;56.0;99704.0;0;1;0;3;1;0;209892.0;6996.4;37.0;2013;2;0;28;0;3;4;7;348407.7354765545;462765.74141768547;30.86250662982543;331852.0351742628;0
1828;1629;85.0;44.0;161.0;157034.43;32.98;24;85.0;51914.0;0;1;0;1;1;0;105120.43;3504.014333333333;46.0;2013;3;1;49;0;0;5;1;437856.5656846549;313671.6793187913;31.611336366096918;364153.9046530612;0
522;547;14.0;28.0;33.0;139000.0;32.92;24;16.0;45872.0;0;0;0;1;0;0;93128.0;3104.266666666667;30.0;2014;0;0;4;0;0;10;11;348407.7354765545;313671.6793187913;31.611336366096918;367332.77090690075;0
