"taux_endettement_cleaned";"anciennete_emploi_cleaned";"age_cleaned";"anciennete_bni_cleaned";"duree_pret_cleaned";"year";"salaire_mensuel_cleaned";"nb_salaires_cleaned";"statut_marita_cleaned_UNIQUEVAL";"nature_CAP_cleaned_UNIQUEVAL";"type_contrat_cleaned";"mensualite_cleaned";"code_DTX_cleaned_UNIQUEVAL";"categorie_employeur_cleaned_UNIQUEVAL";"scorePred"
32,92;33;24;32;12;2013;640000;32;"marie";"cap";"cdi";210688;0;"entreprise_privée_connue";94,3
32,71;42;51;23;24;2011;218749;22;"marie";"cap_rechargeable";"cdi";71552,7979;0;"entreprise_privée_connue";87,57
32,92;60;48;83;24;2012;333000;54;"marie";"cap_rechargeable";"cdi";109623,6;0;"entreprise_privée_à_renseigner";97,06
29,1;101;50;64;60;2013;420900;64;"marie";"cap_rechargeable";"cdi";122481,9;0;"entreprise_privée_à_favoriser";96,31
32,92;58;42;50;24;2013;110000;47;"concubinage";"cap";"cdi";36212;1;"entreprise_privée_connue";86,09
32,11;74;31;1;24;2012;172300;1;"marie";"cap";"cdi";55325,53;0;"entreprise_privée_à_renseigner";86,66
31,22;28;59;341;8;2012;1692942;27;"marie";"cap";"cdi";528536,4924;0;"fonctionnaire";99,47
32,92;71;28;2;24;2011;104934;2;"marie";"cap";"cdi";34544,2728;0;"entreprise_privée_à_renseigner";93,1
32,66;65;57;13;18;2012;245000;13;"marie";"cap_rechargeable";"cdi";80017;0;"entreprise_privée_à_renseigner";95,6
32,56;56;35;40;36;2013;133380;40;"marie";"cap_rechargeable";"cdi";43428,528;0;"entreprise_privée_connue";89,9
32,84;17;32;7;60;2012;261061,2;4;"marie";"cap";"cdi";85732,49808;0;"fonctionnaire";97,1
32,38;30;25;13;24;2014;120000;13;"marie";"cap";"cdi";38856;1;"entreprise_privée_connue";83,83
32,82;11;43;11;24;2011;130000;11;"celibataire";"cap";"cdi";42666;1;"entreprise_privée_à_renseigner";82,77
32,85;88;43;2;24;2012;116339;2;"marie";"cap";"cdi";38217,3615;0;"entreprise_privée_connue";91,01
32,943076238449;28;32;10;36;2017;360000;1;"concubinage";"cap";"cdi";118595,074458416;0;"entreprise_privée_connue";82,06
